Crop,Disease,Temperature(C),Humidity(%),Rainfall(mm),Soil_pH,Soil_Moisture(%),Leaf_Spots,Wilting
Chilli,Leaf Curl,29.1,53,101,5.1,14,1,0
Maize,Healthy,33.9,88,64,5.7,25,0,0
Sugarcane,Healthy,21.0,38,30,5.3,22,0,0
Tomato,Septoria Leaf Spot,37.4,30,230,7.8,54,1,1
Grapes,Downy Mildew,15.5,62,326,7.2,55,1,1
Cotton,Healthy,15.7,57,288,6.0,63,0,0
Potato,Healthy,37.4,55,397,7.4,23,0,0
Soybean,Healthy,24.2,35,9,5.2,43,0,0
Onion,Purple Blotch,15.0,61,26,5.3,22,1,0
Apple,Apple Scab,34.1,59,299,8.1,36,0,0
Rice,Healthy,36.8,59,184,6.8,54,0,0
Potato,Healthy,21.9,90,245,6.7,73,0,0
Tomato,Late Blight,28.3,95,260,7.6,69,1,1
Rice,Blast,26.3,44,161,5.7,86,1,0
Soybean,Healthy,22.8,30,67,5.7,67,0,0
Cotton,Leaf Curl Virus,22.7,88,177,7.9,41,0,1
Maize,Downy Mildew,26.8,49,314,5.3,22,0,0
Banana,Healthy,44.1,39,11,7.7,22,0,1
Grapes,Powdery Mildew,28.3,61,95,5.2,77,1,0
Apple,Healthy,34.7,49,157,5.8,15,0,1
Potato,Healthy,29.7,62,14,6.6,35,0,0
Grapes,Powdery Mildew,31.8,44,141,6.7,86,1,0
Wheat,Healthy,44.6,81,247,7.4,87,0,0
Onion,Healthy,41.4,89,150,5.7,66,0,0
Groundnut,Healthy,32.2,71,162,5.1,50,0,0
Sugarcane,Red Rot,23.7,95,196,6.2,11,1,1
Tomato,Late Blight,18.6,69,16,7.4,15,1,1
Mango,Anthracnose,25.9,43,316,6.3,41,1,1
Potato,Late Blight,26.1,55,18,6.9,85,1,0
Banana,Sigatoka,44.3,75,42,7.4,23,1,1
Soybean,Bacterial Blight,29.7,46,210,6.9,90,1,0
Groundnut,Tikka Disease,18.6,52,246,6.9,72,1,1
Sugarcane,Red Rot,32.9,49,19,6.6,31,1,1
Maize,Leaf Blight,26.6,72,47,5.8,37,0,1
Chilli,Leaf Curl,33.7,39,235,5.2,49,1,0
Groundnut,Rust,31.4,64,41,7.2,86,0,1
Onion,Downy Mildew,17.3,30,148,5.5,35,1,0
Rice,Healthy,20.3,85,99,8.1,31,0,0
Potato,Late Blight,31.0,48,376,6.6,68,1,1
Mango,Healthy,25.1,54,128,8.0,28,0,0
Banana,Healthy,25.8,80,18,7.8,43,0,0
Chilli,Anthracnose,29.3,43,68,5.4,33,1,1
Chilli,Leaf Curl,29.9,52,177,7.0,57,1,1
Apple,Healthy,24.9,79,117,5.6,90,0,1
Cotton,Boll Rot,16.5,95,112,7.7,84,1,1
Potato,Healthy,19.7,52,226,5.5,67,0,0
Sugarcane,Red Rot,40.4,57,73,7.6,45,1,1
Grapes,Healthy,20.2,80,33,4.9,37,0,0
Groundnut,Healthy,22.8,78,75,5.3,82,0,0
Mango,Healthy,15.3,75,130,7.7,50,0,0
Cotton,Healthy,22.0,74,91,7.0,19,0,0
Tomato,Septoria Leaf Spot,29.5,54,384,7.9,64,1,0
Apple,Apple Scab,36.7,41,317,4.9,63,1,1
Rice,Blast,37.9,74,268,6.6,37,1,1
Apple,Fire Blight,41.0,62,258,7.3,44,1,0
Soybean,Rust,37.6,86,285,7.0,49,1,0
Banana,Panama Disease,43.1,78,180,5.7,47,1,1
Potato,Late Blight,22.5,39,364,7.2,39,1,1
Wheat,Healthy,42.9,50,368,6.7,12,1,0
Soybean,Bacterial Blight,20.4,40,186,7.6,60,1,0
Apple,Fire Blight,29.1,92,101,6.7,57,1,1
Rice,Bacterial Leaf Blight,42.2,52,47,5.1,77,1,1
Rice,Blast,26.8,69,298,6.1,20,1,1
Potato,Healthy,16.8,36,254,7.6,67,0,0
Mango,Healthy,32.2,75,68,7.9,26,0,0
Banana,Sigatoka,44.8,34,394,5.6,85,1,1
Cotton,Boll Rot,31.4,36,96,6.6,36,1,0
Onion,Downy Mildew,19.8,67,75,7.5,29,1,1
Grapes,Healthy,28.2,80,20,7.1,63,0,1
Wheat,Smut,28.8,63,242,5.3,49,1,0
Grapes,Powdery Mildew,16.9,30,87,8.1,29,1,1
Mango,Anthracnose,21.4,76,198,5.3,52,1,1
Soybean,Healthy,36.7,91,379,6.4,79,0,1
Cotton,Leaf Curl Virus,17.6,31,154,5.7,28,1,0
Groundnut,Rust,21.5,36,264,4.8,88,1,0
Banana,Panama Disease,22.4,39,2,6.3,28,1,0
Groundnut,Tikka Disease,38.6,65,111,6.9,69,1,0
Grapes,Healthy,23.8,58,349,5.6,23,0,1
Wheat,Healthy,26.7,84,5,5.8,41,0,0
Sugarcane,Smut,16.7,35,327,7.3,80,1,1
Rice,Healthy,21.4,47,1,6.5,53,0,0
Wheat,Smut,25.1,63,337,5.1,55,0,1
Banana,Healthy,37.1,43,94,5.3,39,0,0
Sugarcane,Smut,17.4,50,294,8.0,66,1,1
Cotton,Leaf Curl Virus,31.9,93,21,6.7,26,0,0
Mango,Powdery Mildew,26.8,49,389,7.4,70,0,1
Soybean,Healthy,20.8,74,258,7.1,14,1,0
Grapes,Healthy,36.4,68,243,6.0,58,0,0
Wheat,Healthy,20.9,55,139,5.3,20,0,0
Maize,Leaf Blight,20.7,41,175,7.3,50,1,1
Mango,Powdery Mildew,19.0,60,262,5.9,42,1,1
Banana,Panama Disease,33.2,79,347,5.7,23,1,0
Potato,Early Blight,42.1,57,259,5.6,21,1,1
Apple,Healthy,37.9,63,297,6.7,29,0,0
Maize,Leaf Blight,40.0,57,299,5.2,35,1,0
Apple,Healthy,18.1,77,40,6.5,72,0,0
Rice,Brown Spot,24.7,74,55,7.4,26,0,1
Cotton,Boll Rot,21.0,35,237,6.5,42,1,1
Groundnut,Healthy,31.8,40,200,8.1,73,0,0
Soybean,Healthy,42.0,92,0,5.3,15,0,0
Potato,Healthy,21.7,51,45,5.5,36,0,0
Onion,Purple Blotch,36.3,43,208,7.0,33,1,1
Groundnut,Rust,42.8,44,209,7.0,31,1,1
Apple,Healthy,20.5,82,242,6.4,10,0,0
Mango,Powdery Mildew,31.9,37,99,6.6,73,1,1
Wheat,Rust,28.7,30,74,5.8,47,1,1
Grapes,Healthy,29.2,70,2,7.2,43,0,0
Soybean,Healthy,22.6,43,358,7.1,34,0,0
Apple,Fire Blight,23.3,57,363,7.1,40,1,1
Soybean,Healthy,18.6,42,143,7.7,15,0,0
Sugarcane,Smut,23.4,64,109,5.2,73,1,0
Apple,Fire Blight,25.7,67,70,7.4,75,1,1
Apple,Fire Blight,29.5,44,23,7.9,19,1,0
Onion,Purple Blotch,36.9,66,141,8.0,37,1,0
Sugarcane,Red Rot,32.3,77,384,6.9,10,0,1
Banana,Sigatoka,16.9,77,238,6.5,46,1,1
Tomato,Healthy,31.1,81,199,6.0,78,0,1
Wheat,Smut,15.0,89,349,5.0,13,1,1
Soybean,Rust,44.9,94,328,6.5,88,1,1
Rice,Bacterial Leaf Blight,19.9,74,198,7.1,46,1,1
Sugarcane,Red Rot,40.4,48,104,7.6,36,1,0
Cotton,Healthy,24.8,36,133,5.1,57,0,0
Mango,Healthy,43.1,47,179,5.7,10,0,0
Apple,Healthy,40.1,30,64,6.6,29,0,0
Tomato,Healthy,21.0,81,326,7.3,68,0,1
Cotton,Healthy,29.3,35,87,4.8,57,0,1
Rice,Brown Spot,33.2,71,17,6.0,39,1,1
Groundnut,Tikka Disease,36.5,94,203,6.2,31,0,0
Apple,Fire Blight,26.5,78,87,6.5,21,1,1
Tomato,Late Blight,38.4,56,127,5.3,72,1,0
Groundnut,Tikka Disease,44.5,77,104,7.0,65,1,1
Groundnut,Tikka Disease,29.6,40,179,6.3,15,0,1
Potato,Healthy,26.9,56,201,8.1,12,0,1
Grapes,Downy Mildew,39.2,31,313,5.8,42,0,1
Wheat,Smut,37.8,62,271,7.4,81,1,0
Maize,Healthy,29.7,74,382,7.1,35,0,0
Banana,Healthy,17.7,62,195,5.1,81,1,0
Apple,Fire Blight,21.3,31,139,5.6,86,1,0
Groundnut,Tikka Disease,39.8,58,168,8.1,37,1,1
Tomato,Septoria Leaf Spot,40.5,82,320,6.2,82,1,1
Banana,Healthy,32.8,37,188,6.8,53,0,0
Sugarcane,Red Rot,37.0,66,169,6.6,17,0,1
Wheat,Powdery Mildew,42.3,85,32,8.0,53,0,1
Cotton,Healthy,18.7,90,145,5.4,33,0,0
Onion,Purple Blotch,39.1,45,273,5.3,17,1,1
Potato,Healthy,41.8,74,44,6.8,16,0,0
Chilli,Leaf Curl,20.8,76,222,7.5,55,1,1
Potato,Late Blight,30.9,67,120,7.1,28,1,0
Cotton,Boll Rot,41.6,80,15,7.0,31,1,1
Grapes,Downy Mildew,36.4,83,267,6.1,37,1,1
Cotton,Leaf Curl Virus,25.4,87,56,7.1,49,1,1
Mango,Anthracnose,43.6,77,400,5.1,31,1,1
Wheat,Smut,25.5,94,153,7.8,82,1,0
Cotton,Healthy,17.0,63,148,8.0,82,0,0
Chilli,Healthy,17.9,95,396,6.5,86,0,1
Wheat,Powdery Mildew,22.3,88,288,4.9,59,0,0
Mango,Powdery Mildew,43.2,30,155,6.3,43,1,1
Chilli,Anthracnose,42.5,73,365,5.2,57,1,0
Chilli,Leaf Curl,24.3,83,251,6.6,13,1,1
Chilli,Healthy,20.3,95,153,6.0,55,1,0
Maize,Healthy,36.6,32,393,6.4,61,0,0
Tomato,Late Blight,31.2,53,131,5.0,52,0,1
Cotton,Leaf Curl Virus,22.4,93,9,7.7,73,1,1
Sugarcane,Smut,26.1,36,114,8.1,79,1,0
Sugarcane,Red Rot,26.8,44,37,8.1,78,1,1
Cotton,Boll Rot,39.3,84,59,7.5,84,1,1
Soybean,Rust,19.1,76,170,7.2,41,1,1
Grapes,Downy Mildew,29.6,86,225,5.2,12,0,0
Onion,Healthy,18.9,90,285,6.9,77,0,1
Grapes,Healthy,25.8,81,225,7.0,42,0,0
Grapes,Healthy,37.6,92,286,7.4,85,0,0
Banana,Sigatoka,34.5,35,125,6.5,88,1,0
Potato,Early Blight,34.3,91,332,7.6,10,0,0
Mango,Anthracnose,34.5,74,136,5.1,81,1,1
Groundnut,Rust,43.6,59,338,7.4,49,1,1
Chilli,Leaf Curl,32.6,76,192,5.6,50,1,1
Mango,Anthracnose,17.6,80,371,5.4,90,0,1
Tomato,Septoria Leaf Spot,30.1,39,98,7.0,74,1,1
Soybean,Healthy,37.7,84,281,7.2,83,0,0
Groundnut,Rust,16.1,91,259,6.6,78,1,1
Chilli,Healthy,21.0,67,282,7.2,74,0,1
Onion,Healthy,35.2,30,129,6.1,81,0,0
Sugarcane,Red Rot,32.7,54,26,8.1,85,1,0
Banana,Panama Disease,38.2,34,292,8.1,26,1,0
Banana,Sigatoka,27.2,31,254,8.0,41,1,0
Tomato,Healthy,26.1,36,181,7.6,54,0,0
Onion,Downy Mildew,24.4,45,293,5.4,28,1,0
Apple,Healthy,19.3,78,357,5.4,33,0,1
Grapes,Downy Mildew,33.9,75,201,5.8,31,0,1
Tomato,Late Blight,39.6,72,30,7.8,22,1,1
Tomato,Early Blight,43.1,66,119,6.9,10,1,0
Apple,Apple Scab,44.7,44,322,5.1,67,1,1
Wheat,Powdery Mildew,26.3,79,94,7.1,59,1,1
Grapes,Powdery Mildew,43.0,59,57,8.0,56,1,0
Tomato,Early Blight,41.3,68,128,8.0,53,0,1
Mango,Anthracnose,16.8,77,210,5.6,78,0,1
Grapes,Healthy,45.0,91,353,7.1,72,0,1
Cotton,Healthy,15.4,81,2,4.9,57,0,0
Wheat,Healthy,36.0,68,369,5.7,64,0,0
Sugarcane,Smut,16.9,52,220,6.2,58,1,1
Soybean,Rust,36.8,47,284,7.8,75,1,1
Cotton,Healthy,26.5,38,369,6.1,48,0,0
Grapes,Downy Mildew,28.6,53,347,6.3,18,1,1
Rice,Healthy,33.9,93,281,6.4,12,0,0
Grapes,Healthy,38.8,42,268,5.3,44,0,0
Cotton,Boll Rot,24.7,65,233,6.2,65,1,1
Sugarcane,Smut,15.7,61,391,8.0,67,0,1
Apple,Apple Scab,33.8,63,352,7.3,19,1,1
Wheat,Smut,29.8,70,390,5.7,59,1,1
Sugarcane,Healthy,37.7,56,89,6.3,29,0,0
Grapes,Healthy,29.7,90,235,7.8,77,0,0
Apple,Fire Blight,35.2,32,235,5.8,51,1,1
Rice,Healthy,15.5,32,308,6.4,88,0,0
Maize,Leaf Blight,39.0,93,270,7.7,84,0,1
Banana,Healthy,41.1,82,344,5.9,72,0,0
Groundnut,Rust,34.6,72,63,4.8,49,1,1
Banana,Healthy,38.4,84,294,7.9,67,0,0
Groundnut,Rust,22.2,34,21,7.3,19,0,1
Onion,Healthy,42.3,84,29,7.9,10,0,0
Soybean,Bacterial Blight,41.5,77,102,6.4,53,0,1
Chilli,Healthy,16.1,82,32,7.1,22,0,0
Onion,Healthy,16.7,92,279,6.2,46,0,0
Mango,Powdery Mildew,34.5,63,341,6.7,74,1,1
Chilli,Leaf Curl,38.1,83,305,6.3,74,1,1
Chilli,Anthracnose,33.0,45,237,7.4,21,1,0
Apple,Fire Blight,43.4,49,6,7.3,48,1,1
Sugarcane,Red Rot,43.0,45,32,5.6,79,1,1
Tomato,Healthy,42.3,88,363,5.1,67,0,0
Onion,Purple Blotch,36.8,48,152,5.3,74,0,1
Soybean,Bacterial Blight,36.5,46,49,5.9,34,1,0
Sugarcane,Smut,18.7,30,319,7.1,52,1,0
Onion,Healthy,21.0,33,394,5.0,65,1,0
Onion,Downy Mildew,44.8,53,24,7.9,44,1,1
Groundnut,Healthy,43.4,46,142,6.9,53,1,0
Mango,Healthy,30.8,61,24,8.0,62,0,0
Chilli,Anthracnose,38.8,59,352,7.4,17,1,1
Rice,Healthy,33.9,84,213,7.9,26,0,0
Onion,Purple Blotch,28.9,54,370,6.0,71,1,1
Groundnut,Tikka Disease,35.7,48,92,6.7,70,0,1
Chilli,Healthy,20.6,56,22,7.2,29,0,0
Rice,Blast,20.9,64,386,5.7,82,0,1
Banana,Sigatoka,39.0,55,88,8.1,90,1,1
Onion,Purple Blotch,20.2,55,173,7.6,73,0,1
Soybean,Rust,34.5,58,288,6.0,44,1,1
Wheat,Smut,41.8,62,198,5.0,55,1,1
Wheat,Healthy,21.1,92,268,8.1,76,0,0
Apple,Apple Scab,42.7,30,131,7.9,41,1,0
Banana,Sigatoka,17.4,67,345,7.5,25,1,1
Banana,Panama Disease,35.3,66,324,6.9,68,1,0
Onion,Downy Mildew,43.4,37,242,5.8,38,1,1
Sugarcane,Healthy,44.0,90,334,7.8,77,0,0
Wheat,Smut,40.9,94,40,8.0,33,1,1
Tomato,Early Blight,18.9,62,97,5.4,14,1,1
Onion,Healthy,25.0,82,188,7.8,78,0,0
Wheat,Rust,20.5,65,374,6.9,78,1,1
Soybean,Rust,43.4,33,380,5.7,40,1,1
Banana,Healthy,23.0,44,123,5.5,60,0,0
Cotton,Leaf Curl Virus,42.9,38,341,5.4,42,1,0
Potato,Early Blight,41.0,47,166,7.8,60,1,1
Mango,Healthy,31.5,48,15,7.8,29,0,0
Groundnut,Rust,34.7,66,325,7.5,17,1,1
Onion,Purple Blotch,18.0,44,398,8.1,65,1,0
Sugarcane,Healthy,45.0,89,201,5.1,19,0,0
Mango,Healthy,15.5,83,366,7.4,33,0,0
Grapes,Downy Mildew,42.9,48,100,5.8,65,1,0
Wheat,Powdery Mildew,15.5,84,190,7.5,17,1,0
Onion,Purple Blotch,20.0,47,390,4.9,61,0,1
Sugarcane,Smut,38.8,57,171,6.4,52,1,1
Maize,Leaf Blight,31.2,57,254,6.8,78,1,1
Banana,Healthy,25.7,31,38,7.7,60,0,0
Soybean,Healthy,35.7,47,159,7.2,36,0,0
Onion,Downy Mildew,34.1,80,275,5.4,76,1,0
Banana,Healthy,21.7,74,151,8.0,13,0,1
Maize,Healthy,34.7,65,128,6.8,12,0,0
Onion,Purple Blotch,21.8,36,280,5.1,47,1,1
Wheat,Smut,28.7,57,197,8.2,58,1,0
Wheat,Rust,19.3,35,35,7.7,75,1,1
Onion,Downy Mildew,24.1,73,321,6.8,89,1,0
Grapes,Powdery Mildew,28.2,70,139,8.1,12,1,1
Maize,Downy Mildew,44.9,73,300,6.6,48,1,1
Banana,Healthy,22.0,42,155,7.0,59,0,0
Wheat,Rust,32.8,76,195,7.5,82,1,1
Tomato,Late Blight,22.4,70,33,8.0,35,1,0
Rice,Brown Spot,19.8,36,235,7.4,53,0,1
Wheat,Powdery Mildew,35.2,34,236,6.9,28,1,0
Potato,Late Blight,21.1,94,287,7.8,17,1,0
Grapes,Downy Mildew,27.1,70,110,7.9,30,0,0
Potato,Healthy,36.1,66,103,7.1,27,0,0
Wheat,Rust,30.5,83,88,5.3,29,1,1
Soybean,Bacterial Blight,25.8,44,278,5.9,35,1,1
Rice,Blast,18.6,41,320,7.8,55,1,1
Rice,Brown Spot,42.0,43,169,7.8,66,0,0
Banana,Sigatoka,39.4,54,194,5.8,43,1,1
Banana,Healthy,42.7,75,12,7.1,16,0,0
Sugarcane,Red Rot,19.9,53,139,8.0,37,0,0
Tomato,Septoria Leaf Spot,40.2,55,68,6.1,81,1,0
Wheat,Powdery Mildew,20.0,34,189,7.6,40,1,0
Rice,Brown Spot,37.5,30,20,8.1,59,0,1
Apple,Fire Blight,33.9,37,326,5.4,52,1,0
Maize,Downy Mildew,25.7,52,61,5.2,46,1,1
Groundnut,Tikka Disease,28.9,30,12,7.8,36,1,1
Sugarcane,Red Rot,24.7,80,237,4.8,59,1,0
Apple,Apple Scab,18.0,61,54,6.7,37,1,1
Chilli,Healthy,17.6,93,39,7.5,85,0,0
Cotton,Leaf Curl Virus,17.8,38,272,6.7,19,1,1
Apple,Fire Blight,18.0,61,174,5.3,53,0,0
Tomato,Septoria Leaf Spot,41.6,30,68,6.8,68,1,1
Grapes,Downy Mildew,35.6,79,289,5.3,30,1,0
Apple,Fire Blight,34.5,37,17,7.3,13,1,1
Potato,Healthy,33.8,30,213,7.3,59,0,0
Rice,Brown Spot,40.1,83,47,7.4,80,1,1
Apple,Apple Scab,18.6,50,230,7.8,10,1,1
Grapes,Powdery Mildew,22.1,70,273,6.5,11,1,0
Grapes,Downy Mildew,19.8,31,159,8.1,26,1,1
Groundnut,Rust,41.4,46,110,7.9,36,0,1
Onion,Purple Blotch,34.5,69,212,5.4,61,1,1
Rice,Blast,27.5,38,72,7.2,17,1,1
Wheat,Healthy,18.3,55,280,7.5,25,0,0
Cotton,Healthy,36.2,48,133,6.7,53,0,0
Mango,Healthy,32.8,60,237,6.2,20,0,0
Maize,Leaf Blight,28.8,45,231,5.8,42,1,1
Potato,Healthy,39.6,71,191,4.8,30,0,1
Potato,Late Blight,37.6,31,147,5.1,69,1,0
Soybean,Bacterial Blight,18.2,40,214,7.9,63,0,1
Potato,Healthy,33.7,94,364,6.9,69,0,0
Banana,Healthy,18.4,30,326,6.6,59,0,0
Onion,Downy Mildew,26.8,85,319,4.9,42,1,1
Tomato,Early Blight,21.1,59,218,5.4,42,1,0
Soybean,Healthy,36.5,82,36,7.5,28,1,0
Banana,Healthy,21.1,34,157,7.4,36,1,0
Grapes,Powdery Mildew,30.9,39,161,7.8,52,1,1
Soybean,Bacterial Blight,24.7,33,181,7.6,35,1,0
Rice,Blast,17.2,61,188,5.0,64,1,1
Apple,Apple Scab,25.3,72,289,6.0,55,1,1
Onion,Purple Blotch,39.1,55,196,5.2,28,1,0
Groundnut,Rust,15.8,92,365,8.0,70,1,0
Sugarcane,Red Rot,42.4,35,258,7.7,11,1,1
Chilli,Anthracnose,33.0,77,217,8.0,75,1,0
Apple,Apple Scab,23.4,30,327,5.7,32,1,0
Groundnut,Healthy,24.1,56,301,5.4,86,0,0
Banana,Panama Disease,16.7,81,150,6.4,49,1,1
Onion,Purple Blotch,36.7,93,113,6.6,50,0,0
Potato,Early Blight,18.1,64,42,5.3,81,0,0
Tomato,Late Blight,43.9,55,142,7.7,72,0,0
Soybean,Healthy,17.3,94,289,5.0,10,0,0
Chilli,Anthracnose,31.9,51,282,6.2,53,1,0
Soybean,Healthy,24.7,53,395,7.2,55,0,0
Rice,Brown Spot,42.1,64,396,4.9,69,1,1
Apple,Apple Scab,44.3,71,145,6.1,20,1,1
Chilli,Anthracnose,23.3,62,158,6.8,33,1,0
Potato,Early Blight,30.0,36,270,7.0,20,1,1
Apple,Apple Scab,33.2,70,105,8.0,41,1,1
Maize,Healthy,28.8,83,113,5.5,39,1,0
Potato,Late Blight,42.7,70,72,8.0,79,1,0
Groundnut,Healthy,36.6,35,287,7.0,29,0,1
Tomato,Septoria Leaf Spot,28.4,86,374,6.9,86,1,0
Onion,Purple Blotch,38.3,34,271,7.2,57,1,0
Sugarcane,Smut,21.7,53,264,4.9,11,1,1
Rice,Brown Spot,40.2,85,221,5.0,60,0,1
Wheat,Healthy,15.2,53,226,6.9,45,0,0
Onion,Purple Blotch,22.2,58,71,7.1,68,1,1
Grapes,Downy Mildew,34.3,57,110,6.0,43,0,0
Chilli,Anthracnose,35.4,87,205,6.5,49,1,0
Grapes,Downy Mildew,23.6,40,151,6.3,51,1,1
Apple,Healthy,38.0,93,161,4.8,25,0,0
Groundnut,Rust,17.1,73,258,5.3,41,1,0
Onion,Purple Blotch,28.7,60,181,7.6,69,0,0
Soybean,Healthy,44.2,50,294,5.8,72,0,0
Cotton,Leaf Curl Virus,16.9,39,98,6.4,31,0,1
Chilli,Leaf Curl,40.9,38,303,6.1,22,1,1
Apple,Healthy,32.7,41,272,6.7,29,0,0
Groundnut,Healthy,35.8,87,240,5.2,78,1,0
Grapes,Healthy,20.9,64,89,6.3,65,0,0
Groundnut,Rust,37.8,41,300,6.5,29,1,1
Rice,Healthy,40.2,85,223,7.8,30,0,1
Cotton,Healthy,18.2,64,92,7.6,78,0,0
Soybean,Rust,26.7,75,378,6.7,78,0,1
Soybean,Rust,16.7,89,212,8.1,54,1,1
Potato,Early Blight,38.5,66,261,6.6,74,1,0
Apple,Apple Scab,18.8,64,169,5.6,10,1,0
Mango,Anthracnose,44.1,53,32,7.8,34,0,1
Onion,Healthy,18.8,93,50,7.6,17,0,0
Maize,Leaf Blight,35.2,82,224,4.9,84,0,0
Cotton,Healthy,18.1,30,103,7.4,25,0,0
Apple,Healthy,20.4,94,96,8.1,10,0,0
Banana,Panama Disease,23.7,50,10,6.3,55,1,1
Maize,Healthy,17.9,67,86,5.8,44,0,0
Groundnut,Rust,15.2,79,342,7.3,74,0,1
Banana,Healthy,18.0,86,233,6.5,56,1,0
Onion,Healthy,30.1,83,266,5.9,15,0,0
Onion,Downy Mildew,31.0,74,233,6.6,79,0,1
Banana,Sigatoka,20.6,50,326,5.0,88,1,1
Rice,Blast,29.8,82,190,7.1,15,1,1
Onion,Purple Blotch,23.6,44,219,5.5,59,1,1
Tomato,Early Blight,29.2,50,146,5.9,43,1,1
Soybean,Healthy,26.7,69,205,8.0,42,0,0
Onion,Healthy,41.3,79,384,6.4,34,0,0
Onion,Healthy,24.9,71,198,5.2,51,0,0
Soybean,Rust,30.8,56,313,6.3,15,0,1
Grapes,Healthy,30.1,71,31,6.2,53,0,0
Groundnut,Rust,33.8,88,344,6.0,39,1,1
Potato,Early Blight,16.1,49,63,5.3,55,1,1
Banana,Healthy,44.2,70,165,6.1,34,0,0
Onion,Healthy,35.6,92,229,6.8,45,0,0
Maize,Downy Mildew,40.9,66,320,7.0,59,0,0
Soybean,Bacterial Blight,33.2,65,375,6.2,68,1,1
Cotton,Healthy,44.0,57,175,7.4,65,0,0
Sugarcane,Red Rot,34.0,42,8,5.1,28,1,0
Groundnut,Tikka Disease,36.1,87,73,6.2,28,1,1
Cotton,Leaf Curl Virus,33.1,35,355,5.8,34,1,1
Mango,Powdery Mildew,24.0,41,181,7.9,80,0,0
Mango,Healthy,28.6,75,363,6.3,18,0,0
Soybean,Healthy,24.4,40,219,7.9,27,0,0
Cotton,Healthy,28.7,49,0,7.7,84,0,0
Rice,Healthy,27.5,71,241,5.6,73,0,0
Tomato,Septoria Leaf Spot,26.3,86,236,8.1,37,1,1
Rice,Bacterial Leaf Blight,41.2,56,37,5.6,22,1,1
Potato,Early Blight,20.6,91,139,5.4,70,1,1
Grapes,Healthy,38.9,67,273,8.1,77,0,0
Chilli,Leaf Curl,26.6,64,389,7.7,89,1,1
Cotton,Healthy,40.2,52,225,6.8,46,0,0
Mango,Anthracnose,34.1,74,280,6.2,34,1,0
Apple,Apple Scab,24.4,58,270,7.0,49,1,1
Groundnut,Healthy,35.9,33,105,5.5,76,0,0
Tomato,Septoria Leaf Spot,29.6,64,399,6.4,38,1,0
Chilli,Leaf Curl,41.1,79,230,5.1,30,0,1
Tomato,Healthy,44.9,46,140,4.9,50,0,0
Tomato,Septoria Leaf Spot,44.5,39,357,6.0,10,1,1
Potato,Early Blight,15.2,65,373,5.2,55,1,1
Apple,Apple Scab,23.3,83,275,7.7,46,1,1
Cotton,Leaf Curl Virus,37.4,47,8,6.5,44,1,1
Apple,Apple Scab,40.4,67,189,5.2,68,1,1
Wheat,Rust,25.1,79,325,7.9,14,1,1
Maize,Downy Mildew,24.1,31,248,7.0,54,1,0
Banana,Panama Disease,42.4,91,138,7.3,52,1,1
Cotton,Healthy,16.7,61,314,6.2,61,1,0
Maize,Downy Mildew,42.0,45,208,7.9,81,1,1
Potato,Early Blight,28.7,90,121,8.0,61,0,1
Soybean,Rust,22.1,31,303,6.4,76,1,1
Cotton,Leaf Curl Virus,43.9,53,329,7.8,26,1,0
Tomato,Early Blight,15.0,94,333,7.6,23,1,0
Grapes,Powdery Mildew,34.4,72,361,6.3,33,0,0
Potato,Late Blight,17.5,39,111,7.5,47,0,1
Groundnut,Healthy,29.5,92,341,6.3,81,0,0
Tomato,Late Blight,44.0,90,291,5.4,85,1,0
Apple,Apple Scab,16.8,81,328,6.7,70,1,0
Tomato,Early Blight,44.7,84,216,7.7,83,1,1
Potato,Late Blight,21.1,47,135,6.9,38,1,0
Maize,Leaf Blight,29.2,65,204,5.8,55,1,1
Mango,Anthracnose,30.2,50,86,6.4,82,1,0
Potato,Early Blight,32.2,34,140,5.7,47,0,1
Potato,Late Blight,31.8,53,166,5.3,73,1,1
Soybean,Bacterial Blight,23.7,55,53,7.5,38,1,1
Soybean,Healthy,25.9,40,89,5.8,51,0,0
Maize,Healthy,19.2,67,195,5.5,89,0,0
Banana,Healthy,33.1,47,94,5.4,13,1,0
Onion,Purple Blotch,21.9,92,370,5.5,53,1,0
Soybean,Rust,33.9,36,207,6.6,36,0,1
Onion,Healthy,18.3,75,45,8.1,69,0,1
Cotton,Healthy,42.2,44,141,5.1,45,0,0
Chilli,Anthracnose,25.9,74,91,5.5,39,0,0
Tomato,Early Blight,33.3,82,226,6.0,15,1,0
Potato,Early Blight,24.2,90,253,8.1,49,0,1
Soybean,Rust,18.0,54,222,7.6,40,1,1
Mango,Anthracnose,15.6,68,180,5.3,43,0,0
Banana,Sigatoka,27.4,46,304,5.2,83,1,1
Banana,Healthy,39.8,37,291,8.0,44,0,0
Soybean,Healthy,16.8,74,158,7.5,43,0,0
Tomato,Late Blight,29.7,35,368,4.9,73,1,1
Tomato,Healthy,38.9,63,58,5.0,40,0,0
Mango,Anthracnose,20.8,85,359,7.5,19,1,1
Soybean,Healthy,29.2,67,326,4.9,79,0,0
Potato,Late Blight,24.5,57,397,6.7,19,1,1
Grapes,Downy Mildew,19.5,82,228,6.9,84,1,1
Soybean,Rust,28.3,66,354,6.3,82,1,1
Apple,Apple Scab,16.1,75,312,7.0,47,1,0
Sugarcane,Smut,32.0,54,260,5.4,75,1,1
Chilli,Healthy,15.1,59,376,7.8,54,0,0
Onion,Purple Blotch,25.7,73,99,5.8,21,1,1
